player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8479987,4038042133,24,1414,1,3,4,1.0,0,0,2,12,22,1.0,0.0,0,0,4.0,3,1120,82,212
8479994,8076082892,104,2462,0,0,2,3.0,0,0,0,5,13,0.0,2.0,0,0,0.0,-1,2413,0,49
8479996,78741792349,2106,31249,7,5,51,15.0,1,5,6,60,143,18.0,17.0,0,0,6.0,-6,25978,61,5210
8479998,12114126261,156,6532,0,1,9,10.0,0,0,0,0,0,0.0,2.0,0,0,10.0,4,6012,520,0
8479999,62589627342,217,23734,5,4,34,11.0,1,1,2,86,185,6.0,9.0,0,0,8.0,-5,20414,10,3310
8480001,10095101522,30,5056,0,0,2,8.0,0,0,0,0,0,1.0,3.0,0,0,3.0,2,4589,361,106
8480002,117103191434,58,62852,22,14,123,48.0,2,8,12,507,980,42.0,28.0,1,1,37.0,-16,50295,3201,9356
8480003,70665717156,35,22994,0,4,41,37.0,1,0,8,5,16,13.0,11.0,0,0,16.0,-11,21290,22,1682
8480011,8076081329,76,2049,0,1,5,6.0,0,0,0,0,0,0.0,1.0,0,0,0.0,1,2049,0,0
8480012,137293396246,1564,75607,39,27,162,63.0,8,15,18,59,141,36.0,33.0,0,0,42.0,17,59660,126,15821
8480014,20190210108,260,7710,4,3,19,1.0,1,1,4,49,92,1.0,0.0,0,0,4.0,0,6844,5,861
